t,c,ch,h,l,mv,ra,se,va,vo
020931,1050.07,0,1050.07,1050.07,0,0,95.0,0,0
020926,1050.07,0,1050.07,1050.07,0,0,94.0,0,0
020921,1050.07,0,1050.07,1050.07,0,0,93.0,0,0
020916,1050.07,0,1050.07,1050.07,0,0,92.0,0,0
020911,1050.07,0,1050.07,1050.07,0,0,91.0,0,0
020906,1050.07,0,1050.07,1050.07,0,0,90.0,0,0
020901,1050.07,0,1050.07,1050.07,0,0,89.0,0,0
020856,1050.07,0,1050.07,1050.07,0,0,88.0,0,0
020851,1050.07,0,1050.07,1050.07,0,0,87.0,0,0
020846,1050.07,0,1050.07,1050.07,0,0,86.0,0,0
020841,1050.07,0,1050.07,1050.07,0,0,85.0,0,0
020836,1050.07,0,1050.07,1050.07,0,0,84.0,0,0
020831,1050.07,0,1050.07,1050.07,0,0,83.0,0,0
020826,1050.07,0,1050.07,1050.07,0,0,82.0,0,0
020821,1050.07,0,1050.07,1050.07,0,0,81.0,0,0
020816,1050.07,0,1050.07,1050.07,0,0,80.0,0,0
020811,1050.07,0,1050.07,1050.07,0,0,79.0,0,0
020806,1050.07,0,1050.07,1050.07,0,0,78.0,0,0
020801,1050.07,0,1050.07,1050.07,0,0,77.0,0,0
020756,1050.07,0,1050.07,1050.07,0,0,76.0,0,0
020751,1050.07,0,1050.07,1050.07,0,0,75.0,0,0
020746,1050.07,0,1050.07,1050.07,0,0,74.0,0,0
020741,1050.07,0,1050.07,1050.07,0,0,73.0,0,0
020736,1050.07,0,1050.07,1050.07,0,0,72.0,0,0
020731,1050.07,0,1050.07,1050.07,0,0,71.0,0,0
020726,1050.07,0,1050.07,1050.07,0,0,70.0,0,0
020721,1050.07,0,1050.07,1050.07,0,0,69.0,0,0
020716,1050.07,0,1050.07,1050.07,0,0,68.0,0,0
020711,1050.07,0,1050.07,1050.07,0,0,67.0,0,0
020706,1050.07,0,1050.07,1050.07,0,0,66.0,0,0
020701,1050.07,0,1050.07,1050.07,0,0,65.0,0,0
020656,1050.07,0,1050.07,1050.07,0,0,64.0,0,0
020651,1050.07,0,1050.07,1050.07,0,0,63.0,0,0
020646,1050.07,0,1050.07,1050.07,0,0,62.0,0,0
020641,1050.07,0,1050.07,1050.07,0,0,61.0,0,0
020636,1050.07,0,1050.07,1050.07,0,0,60.0,0,0
020631,1050.07,0,1050.07,1050.07,0,0,59.0,0,0
020626,1050.07,0,1050.07,1050.07,0,0,58.0,0,0
020621,1050.07,0,1050.07,1050.07,0,0,57.0,0,0
020616,1050.07,0,1050.07,1050.07,0,0,56.0,0,0
020611,1050.07,0,1050.07,1050.07,0,0,55.0,0,0
020606,1050.07,0,1050.07,1050.07,0,0,54.0,0,0
020601,1050.07,0,1050.07,1050.07,0,0,53.0,0,0
020556,1050.07,0,1050.07,1050.07,0,0,52.0,0,0
020551,1050.07,0,1050.07,1050.07,0,0,51.0,0,0
020546,1050.07,0,1050.07,1050.07,0,0,50.0,0,0
020541,1050.07,0,1050.07,1050.07,0,0,49.0,0,0
020536,1050.07,0,1050.07,1050.07,0,0,48.0,0,0
020531,1050.07,0,1050.07,1050.07,0,0,47.0,0,0
020526,1050.07,0,1050.07,1050.07,0,0,46.0,0,0
020521,1050.07,0,1050.07,1050.07,0,0,45.0,0,0
020516,1050.07,0,1050.07,1050.07,0,0,44.0,0,0
020511,1050.07,0,1050.07,1050.07,0,0,43.0,0,0
020506,1050.07,0,1050.07,1050.07,0,0,42.0,0,0
020501,1050.07,0,1050.07,1050.07,0,0,41.0,0,0
020456,1050.07,0,1050.07,1050.07,0,0,40.0,0,0
020451,1050.07,0,1050.07,1050.07,0,0,39.0,0,0
020446,1050.07,0,1050.07,1050.07,0,0,38.0,0,0
020441,1050.07,0,1050.07,1050.07,0,0,37.0,0,0
020436,1050.07,0,1050.07,1050.07,0,0,36.0,0,0
020431,1050.07,0,1050.07,1050.07,0,0,35.0,0,0
020426,1050.07,0,1050.07,1050.07,0,0,34.0,0,0
020421,1050.07,0,1050.07,1050.07,0,0,33.0,0,0
020416,1050.07,0,1050.07,1050.07,0,0,32.0,0,0
020411,1050.07,0,1050.07,1050.07,0,0,31.0,0,0
020406,1050.07,0,1050.07,1050.07,0,0,30.0,0,0
020401,1050.07,0,1050.07,1050.07,0,0,29.0,0,0
020356,1050.07,0,1050.07,1050.07,0,0,28.0,0,0
020351,1050.07,0,1050.07,1050.07,0,0,27.0,0,0
020346,1050.07,0,1050.07,1050.07,0,0,26.0,0,0
020341,1050.07,0,1050.07,1050.07,0,0,25.0,0,0
020336,1050.07,0,1050.07,1050.07,0,0,24.0,0,0
020331,1050.07,0,1050.07,1050.07,0,0,23.0,0,0
020326,1050.07,0,1050.07,1050.07,0,0,22.0,0,0
020321,1050.07,0,1050.07,1050.07,0,0,21.0,0,0
020316,1050.07,0,1050.07,1050.07,0,0,20.0,0,0
020311,1050.07,0,1050.07,1050.07,0,0,19.0,0,0
020306,1050.07,0,1050.07,1050.07,0,0,18.0,0,0
020301,1050.07,0,1050.07,1050.07,0,0,17.0,0,0
020256,1050.07,0,1050.07,1050.07,0,0,16.0,0,0
020251,1050.07,0,1050.07,1050.07,0,0,15.0,0,0
020246,1050.07,0,1050.07,1050.07,0,0,14.0,0,0
020241,1050.07,0,1050.07,1050.07,0,0,13.0,0,0
020236,1050.07,0,1050.07,1050.07,0,0,12.0,0,0
020231,1050.07,0,1050.07,1050.07,0,0,11.0,0,0
020226,1050.07,0,1050.07,1050.07,0,0,10.0,0,0
020221,1050.07,0,1050.07,1050.07,0,0,9.0,0,0
020216,1050.07,0,1050.07,1050.07,0,0,8.0,0,0
020211,1050.07,0,1050.07,1050.07,0,0,7.0,0,0
020206,1050.07,0,1050.07,1050.07,0,0,6.0,0,0
020201,1050.07,0,1050.07,1050.07,0,0,5.0,0,0
020156,1050.07,0,1050.07,1050.07,0,0,4.0,0,0
020151,1050.07,0,1050.07,1050.07,0,0,3.0,0,0
020146,1050.07,0,1050.07,1050.07,0,0,2.0,0,0
020141,1050.07,0,1050.07,1050.07,0,0,1.0,0,0
020136,1050.07,0,1050.07,1050.07,0,0,,0,0
020131,1050.07,0,1050.07,1050.07,0,0,,0,0
020126,1050.07,0,1050.07,1050.07,0,0,,0,0
020121,1050.07,0,1050.07,1050.07,0,0,,0,0
020116,1050.07,0,1050.07,1050.07,0,0,8.0,0,0
020941,1050.07,0,1050.07,1050.07,0,0,97.0,0,0
020936,1050.07,0,1050.07,1050.07,0,0,96.0,0,0
021021,1050.07,0,1050.07,1050.07,0,0,105,0,0
021016,1050.07,0,1050.07,1050.07,0,0,104,0,0
021011,1050.07,0,1050.07,1050.07,0,0,103,0,0
021006,1050.07,0,1050.07,1050.07,0,0,102,0,0
021001,1050.07,0,1050.07,1050.07,0,0,101,0,0
020956,1050.07,0,1050.07,1050.07,0,0,100,0,0
020951,1050.07,0,1050.07,1050.07,0,0,99,0,0
020946,1050.07,0,1050.07,1050.07,0,0,98,0,0
021101,1050.07,0,1050.07,1050.07,0,0,113,0,0
021056,1050.07,0,1050.07,1050.07,0,0,112,0,0
021051,1050.07,0,1050.07,1050.07,0,0,111,0,0
021046,1050.07,0,1050.07,1050.07,0,0,110,0,0
021041,1050.07,0,1050.07,1050.07,0,0,109,0,0
021036,1050.07,0,1050.07,1050.07,0,0,108,0,0
021031,1050.07,0,1050.07,1050.07,0,0,107,0,0
021026,1050.07,0,1050.07,1050.07,0,0,106,0,0
021136,1050.07,0,1050.07,1050.07,0,0,120,0,0
021131,1050.07,0,1050.07,1050.07,0,0,119,0,0
021126,1050.07,0,1050.07,1050.07,0,0,118,0,0
021121,1050.07,0,1050.07,1050.07,0,0,117,0,0
021116,1050.07,0,1050.07,1050.07,0,0,116,0,0
021111,1050.07,0,1050.07,1050.07,0,0,115,0,0
021106,1050.07,0,1050.07,1050.07,0,0,114,0,0
021216,1050.07,0,1050.07,1050.07,0,0,128,0,0
021211,1050.07,0,1050.07,1050.07,0,0,127,0,0
021206,1050.07,0,1050.07,1050.07,0,0,126,0,0
021201,1050.07,0,1050.07,1050.07,0,0,125,0,0
021156,1050.07,0,1050.07,1050.07,0,0,124,0,0
021151,1050.07,0,1050.07,1050.07,0,0,123,0,0
021146,1050.07,0,1050.07,1050.07,0,0,122,0,0
021141,1050.07,0,1050.07,1050.07,0,0,121,0,0
021251,1050.07,0,1050.07,1050.07,0,0,135,0,0
021246,1050.07,0,1050.07,1050.07,0,0,134,0,0
021241,1050.07,0,1050.07,1050.07,0,0,133,0,0
021236,1050.07,0,1050.07,1050.07,0,0,132,0,0
021231,1050.07,0,1050.07,1050.07,0,0,131,0,0
021226,1050.07,0,1050.07,1050.07,0,0,130,0,0
021221,1050.07,0,1050.07,1050.07,0,0,129,0,0
021331,1050.07,0,1050.07,1050.07,0,0,143,0,0
021326,1050.07,0,1050.07,1050.07,0,0,142,0,0
021321,1050.07,0,1050.07,1050.07,0,0,141,0,0
021316,1050.07,0,1050.07,1050.07,0,0,140,0,0
021311,1050.07,0,1050.07,1050.07,0,0,139,0,0
021306,1050.07,0,1050.07,1050.07,0,0,138,0,0
021301,1050.07,0,1050.07,1050.07,0,0,137,0,0
021256,1050.07,0,1050.07,1050.07,0,0,136,0,0
021406,1050.07,0,1050.07,1050.07,0,0,150,0,0
021401,1050.07,0,1050.07,1050.07,0,0,149,0,0
021356,1050.07,0,1050.07,1050.07,0,0,148,0,0
021351,1050.07,0,1050.07,1050.07,0,0,147,0,0
021346,1050.07,0,1050.07,1050.07,0,0,146,0,0
021341,1050.07,0,1050.07,1050.07,0,0,145,0,0
021336,1050.07,0,1050.07,1050.07,0,0,144,0,0
021446,1050.07,0,1050.07,1050.07,0,0,158,0,0
021441,1050.07,0,1050.07,1050.07,0,0,157,0,0
021436,1050.07,0,1050.07,1050.07,0,0,156,0,0
021431,1050.07,0,1050.07,1050.07,0,0,155,0,0
021426,1050.07,0,1050.07,1050.07,0,0,154,0,0
021421,1050.07,0,1050.07,1050.07,0,0,153,0,0
021416,1050.07,0,1050.07,1050.07,0,0,152,0,0
021411,1050.07,0,1050.07,1050.07,0,0,151,0,0
021521,1048.06,-2.01,1048.06,1048.06,25800,-0.19,42803000000,2000500,
021516,1047.76,-2.31,1047.76,1047.76,1800,-0.22,42204000000,1974700,164.0
021511,1047.65,-2.42,1047.65,1047.65,4300,-0.23,42140000000,1972900,163.0
021506,1047.65,-2.42,1047.65,1047.65,20900,-0.23,42028000000,1968600,162.0
021501,1047.47,-2.6,1047.47,1047.47,1947700,-0.25,41483000000,1947700,161.0
021456,1050.07,0.0,1050.07,1050.07,0,0.0,0,0,160.0
021451,1050.07,0.0,1050.07,1050.07,0,0.0,0,0,159.0
021601,1047.4,-2.67,1047.4,1047.4,12100,-0.25,5.0,47206000000,2206600
021556,1047.49,-2.58,1047.49,1047.49,11300,-0.25,4.0,46918000000,2194500
021551,1047.74,-2.33,1047.74,1047.74,5300,-0.22,3.0,46648000000,2183200
021546,1047.74,-2.33,1047.74,1047.74,17000,-0.22,2.0,46550000000,2177900
021541,1047.44,-2.63,1047.44,1047.44,118500,-0.25,1.0,46244000000,2160900
021536,1047.93,-2.14,1047.93,1047.93,13400,-0.2,,46154000000,2158100
021531,1048.2,-1.87,1048.2,1048.2,102300,-0.18,,45836000000,2144700
021526,1048.16,-1.91,1048.16,1048.16,41900,-0.18,,43825000000,2042400
021641,1047.42,-2.65,1047.42,1047.42,16500,-0.25,13.0,51446000000,2433700
021636,1047.52,-2.55,1047.52,1047.52,4300,-0.24,12.0,51168000000,2417200
021631,1047.51,-2.56,1047.51,1047.51,3200,-0.24,11.0,51087000000,2412900
021626,1047.51,-2.56,1047.51,1047.51,22400,-0.24,10.0,51025000000,2409700
021621,1047.27,-2.8,1047.27,1047.27,117200,-0.27,9.0,50570000000,2387300
021616,1047.38,-2.69,1047.38,1047.38,19400,-0.26,8.0,48385000000,2270100
021611,1047.27,-2.8,1047.27,1047.27,20800,-0.27,7.0,47992000000,2250700
021606,1047.27,-2.8,1047.27,1047.27,23300,-0.27,6.0,47612000000,2229900
021716,1047.9,-2.17,1047.9,1047.9,16000,-0.21,20.0,54646000000,2588500
021711,1047.8,-2.27,1047.8,1047.8,31200,-0.22,19.0,54412000000,2572500
021706,1047.63,-2.44,1047.63,1047.63,20200,-0.23,18.0,53734000000,2541300
021701,1047.8,-2.27,1047.8,1047.8,21400,-0.22,17.0,53232000000,2521100
021656,1047.7,-2.37,1047.7,1047.7,12100,-0.23,16.0,52868000000,2499700
021651,1047.19,-2.88,1047.19,1047.19,42300,-0.27,15.0,52662000000,2487600
021646,1047.23,-2.84,1047.23,1047.23,11600,-0.27,14.0,51688000000,2445300
021756,1048.84,-1.23,1048.84,1048.84,13800,-0.12,28.0,57284000000,2709200
021751,1048.47,-1.6,1048.47,1048.47,22500,-0.15,27.0,57010000000,2695400
021746,1048.6,-1.47,1048.6,1048.6,11400,-0.14,26.0,56545000000,2672900
021741,1048.6,-1.47,1048.6,1048.6,29100,-0.14,25.0,56234000000,2661500
021736,1048.88,-1.19,1048.88,1048.88,7200,-0.11,24.0,55562000000,2632400
021731,1048.88,-1.19,1048.88,1048.88,8100,-0.11,23.0,55343000000,2625200
021726,1048.52,-1.55,1048.52,1048.52,12700,-0.15,22.0,55144000000,2617100
021721,1048.52,-1.55,1048.52,1048.52,15900,-0.15,21.0,54869000000,2604400
021831,1048.88,-1.19,1048.88,1048.88,46300,-0.11,35.0,61697000000,2920400
021826,1048.88,-1.19,1048.88,1048.88,12600,-0.11,34.0,60721000000,2874100
021821,1048.7,-1.37,1048.7,1048.7,23400,-0.13,33.0,60513000000,2861500
021816,1048.54,-1.53,1048.54,1048.54,32300,-0.15,32.0,59931000000,2838100
021811,1048.54,-1.53,1048.54,1048.54,56600,-0.15,31.0,59375000000,2805800
021806,1049.09,-0.98,1049.09,1049.09,35400,-0.09,30.0,58152000000,2749200
021801,1049.09,-0.98,1049.09,1049.09,4600,-0.09,29.0,57383000000,2713800
021911,1048.85,-1.22,1048.85,1048.85,40600,-0.12,43.0,68555000000,3226400
021906,1048.83,-1.24,1048.83,1048.83,18700,-0.12,42.0,67723000000,3185800
021901,1048.63,-1.44,1048.63,1048.63,52400,-0.14,41.0,66989000000,3167100
021856,1048.86,-1.21,1048.86,1048.86,34500,-0.12,40.0,65759000000,3114700
021851,1048.92,-1.15,1048.92,1048.92,17400,-0.11,39.0,64980000000,3080200
021846,1048.92,-1.15,1048.92,1048.92,9200,-0.11,38.0,64582000000,3062800
021841,1048.87,-1.2,1048.87,1048.87,123900,-0.11,37.0,64353000000,3053600
021836,1048.88,-1.19,1048.88,1048.88,9300,-0.11,36.0,61947000000,2929700
021946,1049.13,-0.94,1049.13,1049.13,1800,-0.09,50.0,71034000000,3326000
021941,1049.07,-1.0,1049.07,1049.07,19400,-0.1,49.0,70953000000,3324200
021936,1049.0,-1.07,1049.0,1049.0,15500,-0.1,48.0,70531000000,3304800
021931,1049.12,-0.95,1049.12,1049.12,11800,-0.09,47.0,70163000000,3289300
021926,1049.09,-0.98,1049.09,1049.09,23800,-0.09,46.0,69887000000,3277500
021921,1048.97,-1.1,1048.97,1048.97,12900,-0.1,45.0,69334000000,3253700
021916,1048.86,-1.21,1048.86,1048.86,14400,-0.12,44.0,68945000000,3240800
022026,1048.98,-1.09,1048.98,1048.98,5700,-0.1,58.0,77784000000,3593800
022021,1048.89,-1.18,1048.89,1048.89,122000,-0.11,57.0,77652000000,3588100
022016,1049.21,-0.86,1049.21,1049.21,26600,-0.08,56.0,74950000000,3466100
022011,1049.21,-0.86,1049.21,1049.21,12000,-0.08,55.0,74318000000,3439500
022006,1049.35,-0.72,1049.35,1049.35,8200,-0.07,54.0,73979000000,3427500
022001,1049.02,-1.05,1049.02,1049.02,24700,-0.1,53.0,73716000000,3419300
021956,1048.63,-1.44,1048.63,1048.63,39200,-0.14,52.0,73113000000,3394600
021951,1048.97,-1.1,1048.97,1048.97,29400,-0.1,51.0,72056000000,3355400
022106,1048.51,-1.56,1048.51,1048.51,26700,-0.15,66.0,81050000000,3734400
022101,1048.56,-1.51,1048.56,1048.56,7300,-0.14,65.0,80468000000,3707700
022056,1048.44,-1.63,1048.44,1048.44,5900,-0.16,64.0,80296000000,3700400
022051,1048.44,-1.63,1048.44,1048.44,15700,-0.16,63.0,80163000000,3694500
022046,1048.72,-1.35,1048.72,1048.72,5100,-0.13,62.0,79822000000,3678800
022041,1048.87,-1.2,1048.87,1048.87,22200,-0.11,61.0,79703000000,3673700
022036,1048.91,-1.16,1048.91,1048.91,48600,-0.11,60.0,79007000000,3651500
022031,1048.77,-1.3,1048.77,1048.77,9100,-0.12,59.0,77984000000,3602900
022141,1048.2,-1.87,1048.2,1048.2,12700,-0.18,73.0,85715000000,3925800
022136,1048.24,-1.83,1048.24,1048.24,29700,-0.17,72.0,85097000000,3913100
022131,1048.32,-1.75,1048.32,1048.32,37400,-0.17,71.0,84256000000,3883400
022126,1048.17,-1.9,1048.17,1048.17,29000,-0.18,70.0,83479000000,3846000
022121,1048.47,-1.6,1048.47,1048.47,22700,-0.15,69.0,82849000000,3817000
022116,1048.47,-1.6,1048.47,1048.47,48600,-0.15,68.0,82486000000,3794300
022111,1048.6,-1.47,1048.6,1048.6,11300,-0.14,67.0,81352000000,3745700
022221,1048.08,-1.99,1048.08,1048.08,4100,-0.19,81.0,95343000000,4349100
022216,1048.03,-2.04,1048.03,1048.03,66000,-0.19,80.0,95247000000,4345000
022211,1048.03,-2.04,1048.03,1048.03,8900,-0.19,79.0,93764000000,4279000
022206,1048.16,-1.91,1048.16,1048.16,5000,-0.18,78.0,93557000000,4270100
022201,1048.18,-1.89,1048.18,1048.18,16600,-0.18,77.0,93431000000,4265100
022156,1048.14,-1.93,1048.14,1048.14,37800,-0.18,76.0,93052000000,4248500
022151,1048.18,-1.89,1048.18,1048.18,270000,-0.18,75.0,92174000000,4210700
022146,1048.09,-1.98,1048.09,1048.09,14900,-0.19,74.0,86075000000,3940700
022256,1047.96,-2.11,1047.96,1047.96,45500,-0.2,88.0,99076000000,4517500
022251,1047.55,-2.52,1047.55,1047.55,35200,-0.24,87.0,97931000000,4472000
022246,1047.71,-2.36,1047.71,1047.71,15600,-0.22,86.0,97383000000,4436800
022241,1047.76,-2.31,1047.76,1047.76,23800,-0.22,85.0,97078000000,4421200
022236,1047.76,-2.31,1047.76,1047.76,13800,-0.22,84.0,96515000000,4397400
022231,1048.22,-1.85,1048.22,1048.22,10700,-0.18,83.0,96171000000,4383600
022226,1048.22,-1.85,1048.22,1048.22,23800,-0.18,82.0,95925000000,4372900
022336,1047.15,-2.92,1047.15,1047.15,12900,-0.28,96.0,105908000000,4868300
022331,1047.41,-2.66,1047.41,1047.41,80700,-0.25,95.0,105605000000,4855400
022326,1047.65,-2.42,1047.65,1047.65,12900,-0.23,94.0,104011000000,4774700
022321,1047.4,-2.67,1047.4,1047.4,107800,-0.25,93.0,103767000000,4761800
022316,1047.43,-2.64,1047.43,1047.43,36000,-0.25,92.0,101811000000,4654000
022311,1047.33,-2.74,1047.33,1047.33,19300,-0.26,91.0,101150000000,4618000
022306,1047.61,-2.46,1047.61,1047.61,24900,-0.23,90.0,100820000000,4598700
022301,1047.71,-2.36,1047.71,1047.71,56300,-0.22,89.0,100267000000,4573800
022411,1047.28,-2.79,1047.28,1047.28,9600,-0.27,103,110668000000,5067300
022406,1047.0,-3.07,1047.0,1047.0,21900,-0.29,102,110404000000,5057700
022401,1047.17,-2.9,1047.17,1047.17,21000,-0.28,101,110034000000,5035800
022356,1047.17,-2.9,1047.17,1047.17,9100,-0.28,100,109539000000,5014800
022351,1047.17,-2.9,1047.17,1047.17,5500,-0.28,99,109345000000,5005700
022346,1047.13,-2.94,1047.13,1047.13,125000,-0.28,98,109149000000,5000200
022341,1047.27,-2.8,1047.27,1047.27,6900,-0.27,97,106057000000,4875200
022451,1047.02,-3.05,1047.02,1047.02,13900,-0.29,111,114529000000,5233900
022446,1046.9,-3.17,1046.9,1046.9,4100,-0.3,110,113978000000,5220000
022441,1047.05,-3.02,1047.05,1047.05,13100,-0.29,109,113847000000,5215900
022436,1047.0,-3.07,1047.0,1047.0,5600,-0.29,108,113555000000,5202800
022431,1047.18,-2.89,1047.18,1047.18,13900,-0.28,107,113394000000,5197200
022426,1046.97,-3.1,1046.97,1046.97,19500,-0.3,106,113050000000,5183300
022421,1047.31,-2.76,1047.31,1047.31,8400,-0.26,105,112632000000,5163800
022416,1047.45,-2.62,1047.45,1047.45,88100,-0.25,104,112438000000,5155400
022526,1045.86,-4.21,1045.86,1045.86,34000,-0.4,118,120413000000,5507800
022521,1045.86,-4.21,1045.86,1045.86,64700,-0.4,117,119542000000,5473800
022516,1046.61,-3.46,1046.61,1046.61,14800,-0.33,116,118168000000,5409100
022511,1046.79,-3.28,1046.79,1046.79,5200,-0.31,115,117846000000,5394300
022506,1046.64,-3.43,1046.64,1046.64,26400,-0.33,114,117721000000,5389100
022501,1046.77,-3.3,1046.77,1046.77,109100,-0.31,113,117119000000,5362700
022456,1046.77,-3.3,1046.77,1046.77,19700,-0.31,112,114948000000,5253600
022606,1045.78,-4.29,1045.78,1045.78,41900,-0.41,126,129975000000,5928200
022601,1045.65,-4.42,1045.65,1045.65,30100,-0.42,125,128893000000,5886300
022556,1045.85,-4.22,1045.85,1045.85,37800,-0.4,124,128107000000,5856200
022551,1045.71,-4.36,1045.71,1045.71,33800,-0.42,123,126957000000,5818400
022546,1045.67,-4.4,1045.67,1045.67,30800,-0.42,122,126182000000,5784600
022541,1045.8,-4.27,1045.8,1045.8,40800,-0.41,121,125556000000,5753800
022536,1045.87,-4.2,1045.87,1045.87,21700,-0.4,120,124664000000,5713000
022531,1046.03,-4.04,1046.03,1046.03,183500,-0.38,119,124159000000,5691300
022646,1045.8,-4.27,1045.8,1045.8,44600,-0.41,134,135487000000,6192200
022641,1045.69,-4.38,1045.69,1045.69,11500,-0.42,133,134430000000,6147600
022636,1045.72,-4.35,1045.72,1045.72,63800,-0.41,132,134167000000,6136100
022631,1045.55,-4.52,1045.55,1045.55,11300,-0.43,131,133155000000,6072300
022626,1045.72,-4.35,1045.72,1045.72,67100,-0.41,130,132865000000,6061000
022621,1045.77,-4.3,1045.77,1045.77,23000,-0.41,129,131575000000,5993900
022616,1045.67,-4.4,1045.67,1045.67,11400,-0.42,128,131095000000,5970900
022611,1045.7,-4.37,1045.7,1045.7,31300,-0.42,127,130755000000,5959500
022721,1045.21,-4.86,1045.21,1045.21,17500,-0.46,141,142506000000,6526600
022716,1045.05,-5.02,1045.05,1045.05,16000,-0.48,140,142194000000,6509100
022711,1046.04,-4.03,1046.04,1046.04,18900,-0.38,139,141727000000,6493100
022706,1045.86,-4.21,1045.86,1045.86,125300,-0.4,138,141318000000,6474200
022701,1045.82,-4.25,1045.82,1045.82,23900,-0.4,137,138776000000,6348900
022656,1046.04,-4.03,1046.04,1046.04,11800,-0.38,136,138373000000,6325000
022651,1046.13,-3.94,1046.13,1046.13,121000,-0.38,135,138008000000,6313200
022801,1045.1,-4.97,1045.1,1045.1,27100,-0.47,149,153134000000,7029600
022756,1045.09,-4.98,1045.09,1045.09,15900,-0.47,148,152582000000,7002500
022751,1045.08,-4.99,1045.08,1045.08,17800,-0.48,147,152271000000,6986600
022746,1044.98,-5.09,1044.98,1044.98,8100,-0.48,146,151932000000,6968800
022741,1045.08,-4.99,1045.08,1045.08,17900,-0.48,145,151694000000,6960700
022736,1045.08,-4.99,1045.08,1045.08,16100,-0.48,144,151274000000,6942800
022731,1044.94,-5.13,1044.94,1044.94,12400,-0.49,143,150877000000,6926700
022726,1044.96,-5.11,1044.96,1044.96,387700,-0.49,142,150572000000,6914300
022836,1045.07,-5.0,1045.07,1045.07,14000,-0.48,156,156985000000,7221600
022831,1045.43,-4.64,1045.43,1045.43,42900,-0.44,155,156673000000,7207600
022826,1045.22,-4.85,1045.22,1045.22,16500,-0.46,154,155826000000,7164700
022821,1045.22,-4.85,1045.22,1045.22,43900,-0.46,153,155453000000,7148200
022816,1045.4,-4.67,1045.4,1045.4,3600,-0.44,152,154691000000,7104300
022811,1045.4,-4.67,1045.4,1045.4,65700,-0.44,151,154623000000,7100700
022806,1045.1,-4.97,1045.1,1045.1,5400,-0.47,150,153260000000,7035000
022916,1044.9,-5.17,1044.9,1044.9,120600,-0.49,164,164143000000,7524200
022911,1044.9,-5.17,1044.9,1044.9,43300,-0.49,163,161180000000,7403600
022906,1044.76,-5.31,1044.76,1044.76,14500,-0.51,162,160145000000,7360300
022901,1044.75,-5.32,1044.75,1044.75,38500,-0.51,161,159842000000,7345800
022856,1045.24,-4.83,1045.24,1045.24,22800,-0.46,160,159085000000,7307300
022851,1045.37,-4.7,1045.37,1045.37,22000,-0.45,159,158578000000,7284500
022846,1045.09,-4.98,1045.09,1045.09,20200,-0.47,158,158027000000,7262500
022841,1044.98,-5.09,1044.98,1044.98,20700,-0.48,157,157566000000,7242300
022951,1044.64,-5.43,1044.64,1044.64,138900,-0.52,171,178036000000,8216600
022946,1044.97,-5.1,1044.97,1044.97,54800,-0.49,170,174865000000,8077700
022941,1045.16,-4.91,1045.16,1045.16,25800,-0.47,169,173465000000,8022900
022936,1044.89,-5.18,1044.89,1044.89,9100,-0.49,168,172914000000,7997100
022931,1044.83,-5.24,1044.83,1044.83,9300,-0.5,167,172576000000,7988000
022926,1044.89,-5.18,1044.89,1044.89,27800,-0.49,166,172323000000,7978700
022921,1044.72,-5.35,1044.72,1044.72,426700,-0.51,165,171728000000,7950900
023031,1045.05,-5.02,1045.05,1045.05,46400,-0.48,179,187535000000,8634000
023026,1044.81,-5.26,1044.81,1044.81,33100,-0.5,178,186078000000,8587600
023021,1044.71,-5.36,1044.71,1044.71,38300,-0.51,177,185450000000,8554500
023016,1044.95,-5.12,1044.95,1044.95,20100,-0.49,176,184586000000,8516200
023011,1044.9,-5.17,1044.9,1044.9,205400,-0.49,175,184145000000,8496100
023006,1044.66,-5.41,1044.66,1044.66,8000,-0.52,174,179709000000,8290700
023001,1044.64,-5.43,1044.64,1044.64,47700,-0.52,173,179529000000,8282700
022956,1044.6,-5.47,1044.6,1044.6,18400,-0.52,172,178479000000,8235000
023111,1045.01,-5.06,1045.01,1045.01,36100,-0.48,187,192045000000,8813400
023106,1045.11,-4.96,1045.11,1045.11,7600,-0.47,186,191241000000,8777300
023101,1044.84,-5.23,1044.84,1044.84,34000,-0.5,185,191039000000,8769700
023056,1044.91,-5.16,1044.91,1044.91,20400,-0.49,184,190211000000,8735700
023051,1045.01,-5.06,1045.01,1045.01,5400,-0.48,183,189749000000,8715300
023046,1044.95,-5.12,1044.95,1044.95,27000,-0.49,182,189547000000,8709900
023041,1044.85,-5.22,1044.85,1044.85,13400,-0.5,181,188954000000,8682900
023036,1044.85,-5.22,1044.85,1044.85,35500,-0.5,180,188541000000,8669500
023146,1044.43,-5.64,1044.43,1044.43,123900,-0.54,194,205262000000,9388400
023141,1044.63,-5.44,1044.63,1044.63,8700,-0.52,193,202696000000,9264500
023136,1044.94,-5.13,1044.94,1044.94,6900,-0.49,192,202397000000,9255800
023131,1044.9,-5.17,1044.9,1044.9,38500,-0.49,191,202138000000,9248900
023126,1044.81,-5.26,1044.81,1044.81,356400,-0.5,190,201479000000,9210400
023121,1044.81,-5.26,1044.81,1044.81,35900,-0.5,189,192918000000,8854000
023116,1044.93,-5.14,1044.93,1044.93,4700,-0.49,188,192182000000,8818100
023226,1044.49,-5.58,1044.49,1044.49,41300,-0.53,202,219421000000,9980700
023221,1044.9,-5.17,1044.9,1044.9,29500,-0.49,201,218501000000,9939400
023216,1044.66,-5.41,1044.66,1044.66,22500,-0.52,200,217653000000,9909900
